ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
3.66,1.39,3.7,3.4,1.0,46.8,16.2,2.3,4.6,240.5,和田　毅,ソフトバンク,57.9,2026,45,2
3.2,1.23,0.6,0.6,0.4,11.2,4.5,0.5,1.1,58.3,吉田　凌,ロッテ,13.8,2026,28,2
3.18,1.22,2.4,2.6,0.7,33.5,13.2,2.1,3.7,201.0,アドゥワ　誠,広島,47.5,2026,27,3
3.02,1.2,8.4,5.8,1.1,76.6,27.1,3.5,11.2,525.2,山﨑　福也,日本ハム,128.1,2026,33,3
2.99,1.19,0.5,0.5,0.2,7.4,2.9,0.3,0.8,38.1,松井　颯,巨人,9.0,2026,25,2
2.89,1.2,0.7,0.5,0.3,9.1,4.2,0.7,0.7,51.1,伊藤　茉央,中日,12.1,2026,25,3
3.11,1.26,5.1,7.0,1.0,59.6,28.4,3.9,7.0,436.1,松葉　貴大,中日,106.2,2026,35,3
2.69,1.17,2.1,2.2,2.0,42.4,16.2,1.4,2.7,184.4,鈴木　翔天,楽天,44.6,2026,29,3
3.35,1.3,0.7,0.9,0.4,13.1,6.2,0.8,1.1,72.6,阪口　皓亮,ヤクルト,17.0,2026,26,3
3.07,1.2,5.1,7.4,1.8,86.0,35.4,3.1,9.6,500.1,メルセデス,ロッテ,122.0,2026,32,2
3.3,1.2,3.5,3.7,0.9,59.0,25.1,3.1,4.7,290.1,荘司　康誠,楽天,69.1,2026,25,3
2.66,1.15,8.8,5.8,1.5,91.9,24.1,4.1,8.1,494.6,菅野　智之,巨人,122.8,2026,36,2
3.71,1.3,4.8,5.4,1.0,61.1,20.5,2.1,7.7,372.6,小川　泰弘,ヤクルト,89.3,2026,35,3
2.61,1.17,6.0,5.2,1.4,85.8,39.4,3.6,6.8,424.4,スチュワート・ジュニア,ソフトバンク,101.7,2026,26,2
2.93,1.27,1.8,1.8,4.0,36.0,13.5,1.5,3.0,168.8,星　知弥,ヤクルト,40.4,2026,31,3
3.23,1.23,1.1,0.9,0.4,16.2,6.8,0.9,1.3,86.0,梅野　雄吾,中日,20.3,2026,27,3
3.18,1.23,1.2,1.5,0.5,18.5,7.5,1.0,2.0,105.0,門別　啓人,阪神,24.6,2026,21,3
2.87,1.09,4.4,6.5,1.0,69.8,19.0,3.7,8.1,376.1,赤星　優志,巨人,92.7,2026,26,3
2.91,1.16,1.5,1.5,0.6,22.2,7.5,0.8,1.8,100.0,菊地　大稀,巨人,24.1,2026,26,2
2.31,1.08,6.5,4.3,1.0,97.5,34.9,3.6,7.1,429.8,北山　亘基,日本ハム,105.8,2026,26,3
2.91,1.15,8.5,7.8,1.1,147.2,44.7,6.9,10.2,624.8,種市　篤暉,ロッテ,150.2,2026,27,3
2.79,1.11,9.2,9.7,1.1,141.5,38.7,4.2,11.4,651.1,隅田　知一郎,西武,159.1,2026,26,3
3.08,1.18,6.0,6.7,1.0,95.5,28.5,2.6,9.8,454.8,早川　隆久,楽天,109.4,2026,27,3
2.96,1.15,10.3,7.8,1.7,144.5,43.1,5.6,12.4,687.3,伊藤　大海,日本ハム,166.5,2026,28,2
3.46,1.26,9.5,8.8,1.1,114.3,48.0,5.3,15.4,645.4,小島　和哉,ロッテ,154.4,2026,29,3
3.51,1.25,2.4,4.6,0.8,43.4,20.6,2.1,6.4,240.9,松本　航,西武,57.1,2026,29,3
2.91,1.18,2.9,2.4,0.7,40.1,11.4,1.1,3.5,195.6,平良　拳太郎,DeNA,47.6,2026,30,3
2.63,1.17,2.4,2.6,9.7,43.0,14.3,1.8,3.5,198.7,田中　正義,日本ハム,48.0,2026,31,3
2.94,1.24,2.4,2.0,0.8,30.8,12.4,2.6,2.4,149.4,津森　宥紀,ソフトバンク,35.2,2026,28,3
2.55,1.08,1.6,1.5,1.2,21.0,7.0,1.2,1.5,104.4,中森　俊介,ロッテ,25.3,2026,23,3
3.09,1.25,3.9,3.9,0.9,46.3,17.2,3.3,4.2,293.5,西　勇輝,阪神,70.6,2026,35,3
3.5,1.38,1.2,1.4,0.5,19.6,7.5,0.9,2.2,112.9,祖父江　大輔,中日,26.9,2026,38,3
3.18,1.19,6.7,10.3,1.6,110.9,35.5,4.7,11.0,629.7,小笠原　慎之介,中日,151.3,2026,28,2
2.4,1.17,3.8,2.5,1.8,38.2,14.2,2.2,2.7,218.1,大西　広樹,ヤクルト,53.0,2026,28,3
2.99,1.21,0.3,0.3,0.1,4.1,1.5,0.2,0.4,20.9,本前　郁也,ロッテ,5.0,2026,28,1
3.08,1.24,6.7,8.3,1.1,100.0,40.7,3.5,10.0,582.4,大瀬良　大地,広島,140.2,2026,34,3
4.16,1.38,3.3,4.2,1.1,49.6,17.3,3.1,4.5,262.5,ポンセ,楽天,60.4,2026,31,2
3.99,1.36,5.2,7.5,1.5,98.0,34.9,4.4,12.9,540.8,サイスニード,ヤクルト,126.4,2026,33,2
3.11,1.13,3.5,4.4,0.9,42.0,17.5,4.0,6.5,279.8,與座　海人,西武,67.9,2026,30,3
3.41,1.26,1.7,2.9,8.7,30.4,11.0,1.5,2.9,149.6,益田　直也,ロッテ,35.8,2026,36,3
3.08,1.27,0.8,0.7,0.4,11.9,4.8,0.5,0.9,60.0,ケムナ　誠,広島,14.3,2026,30,2
3.17,1.24,1.2,1.3,0.5,19.3,9.2,1.3,2.2,115.8,今野　龍太,楽天,27.5,2026,30,3
3.15,1.27,0.7,0.7,0.4,12.2,4.8,0.7,1.0,65.9,今村　信貴,巨人,15.7,2026,32,2
3.51,1.26,3.6,5.5,0.9,43.3,18.0,2.9,5.8,291.6,瀧中　瞭太,楽天,69.2,2026,31,3
3.06,1.21,2.0,1.8,0.7,25.6,11.3,1.3,2.9,147.0,西　純矢,阪神,34.8,2026,24,2
3.08,1.2,5.7,6.7,1.0,84.5,24.9,3.8,5.1,399.6,曽谷　龍平,オリックス,95.5,2026,25,3
3.79,1.34,1.2,1.5,0.5,18.4,9.4,0.8,1.8,101.3,松井　友飛,楽天,23.5,2026,26,3
3.1,1.25,0.8,0.9,0.5,13.5,5.2,0.6,1.2,68.5,椎野　新,ソフトバンク,16.3,2026,30,1
2.77,1.17,1.5,1.1,0.5,22.1,9.1,0.8,1.5,109.6,宮城　滝太,DeNA,26.3,2026,25,3
2.94,1.16,0.7,0.8,0.4,11.3,4.5,0.5,1.1,58.3,直江　大輔,巨人,14.0,2026,25,1
3.27,1.28,2.2,2.4,1.1,37.4,14.6,1.8,2.8,192.8,武田　翔太,ソフトバンク,46.0,2026,32,1
2.79,1.16,3.0,2.7,0.8,38.8,16.6,2.2,4.4,239.0,横川　凱,巨人,58.1,2026,25,3
3.11,1.2,1.0,1.2,0.4,15.9,5.6,0.7,1.8,87.8,平内　龍太,巨人,21.1,2026,27,3
